id,name
33796,IL6
1029,REXO2
1028,PLA2G2F
33799,LYST
33804,UBQLN4
33806,CYGB
1040,EFR3A
1041,CBLL1
33811,RFC1
1043,UBE2K
1047,BMP6
33818,DYRK2
1052,SGCB
33821,ABI1
1056,PATZ1
33831,GBP1
33832,ALDOA
1072,KRTAP5-9
33842,PAX3
1079,CSH2
1082,TNFRSF1A
1084,CCDC124
1087,NDUFV2
33859,SLC25A30
33861,FAAP100
1096,ERG28
1099,CDH20
1102,POT1
33870,TOX2
1104,UGCG
33880,PUS7L
1113,BACH1
1112,OSGIN1
1116,RPS23
1118,PRMT8
33886,ZNF813
33889,TMEM150A
33896,ASH1L
1131,EYA4
33900,BTBD1
1136,KCNJ6
33905,TNS4
33906,C17orf80
33908,OMD
1145,GNL3L
33913,SOCS4
33916,SMR3A
1153,GLIPR1
1156,AOC3
1159,MPHOSPH6
33931,NAA25
33933,HSPA1A
1165,GPR3
1167,SKA1
33936,CA9
1172,CHMP4B
33941,PTK2
1177,PLCB1
1179,SERPINB8
33947,SDHAF3
1182,SDE2
33952,RAI14
33957,TMEM177
33962,ASF1B
1195,INTS3
33967,UBP1
1201,TNK1
33969,TEX10
33970,NID1
1204,SLC45A2
1206,CORO7
33976,GGH
33980,ZNF92
1219,DSC1
1223,AP1M2
33992,ANKRD40
33995,GJB4
33998,BMP5
1231,GLP1R
1235,TAPT1
34004,ZNHIT1
1237,LRRC20
34009,SNAPC3
1245,ARHGEF2
34013,IQCB1
1246,KRT6C
1254,BNIP3
34023,KRAS
34024,SLC34A3
1260,CD48
1261,SULT1E1
34030,CST2
34031,ST6GALNAC3
34036,GRAMD1C
34037,NDUFS4
34043,PTP4A3
34044,RPS6KC1
1275,P2RY14
1288,ACVR1
34056,SH3D19
1291,CTTNBP2NL
1295,SAMD4A
1298,ORM2
34068,RPS21
34070,SLBP
1303,ANKRD1
34071,TOM1L2
1302,PHETA2
1314,C9orf78
34083,ZNF18
1320,TRIM7
1324,SNRPD1
34096,EREG
34099,JUNB
34100,JMJD1C
34101,PI4K2A
34102,NARS2
34103,KNL1
1332,MMAA
1340,KLF1
34113,IL24
1351,GPR89A
34122,MPHOSPH10
1360,YJU2
1362,UBE2E2
1363,FOXJ3
34132,DPP9
34133,GPLD1
1366,PARP16
34137,EMP1
34141,PI3
34147,CIAO1
1388,CA2
34157,INSR
1390,IPO11
1391,SFPQ
34161,CHD4
1394,USP5
1395,DDAH1
34164,NAA16
1398,U2AF1L4
1403,LAMTOR5
34173,FAM107B
34175,RAB10
34176,GEMIN2
1408,ESPL1
34179,RANBP9
1413,AGRN
1415,FGFR2
1421,TPP2
1424,NF2
34197,PDE8A
34205,MRPL11
1444,BCR
34216,LRP12
34219,CD47
1453,ETFRF1
1454,EDA2R
34222,STAT6
34225,DYDC2
34227,MGAT2
1462,PGS1
34230,RBM4
1481,MRPL47
1482,TLE4
34250,GAS2
34258,DYNC1H1
1497,NIPBL
34269,ZNRF2
1516,RPL27
1517,CNBD2
1520,NPAS4
34289,PLK3
1522,NCAPD3
1524,PKLR
34294,ERO1B
34295,SNRPC
1529,SYPL2
34299,BCL2L13
34306,PLB1
1542,TPT1
34310,GAB2
1546,LAPTM4B
34315,LRCH4
1547,TBCB
34318,DDX11
34319,UBE2B
34320,CMTM4
34321,ZHX2
34322,SLC25A26
1553,RPL7A
34324,C1orf109
34325,NTN3
1560,SLC27A2
34330,MVB12B
1571,ZNF263
34346,HMOX1
34348,LIPH
34349,CA1
34351,MAP2K4
1585,C11orf68
34357,ANP32B
34360,GEN1
34361,RIMS2
34368,NDFIP1
34374,CTSH
34375,TPO
1608,MAGI1
34378,CCDC88C
34379,NFRKB
1615,STX19
1616,GALR3
1620,IFRD1
1627,BIRC7
1629,TUBGCP5
34399,JTB
34405,ATXN7L1
1637,RING1
1642,ABI3
34412,TDRD7
1645,TOM1L1
34414,POU4F3
1655,ADK
34423,SOX13
34425,C12orf75
1661,XPO1
1662,EPHA6
1663,TACC2
1665,MTPAP
